04/07/2024 18:47:25, Voltage = 0.2851067, Wetness = 2.427608, state = Dry, Temperature = 28.45355, Evaporation = 0.8905653, Frequency = 32816
04/07/2024 18:47:26, Voltage = 0.3060462, Wetness = 3.350054, state = Dry, Temperature = 28.95624, Evaporation = 0.9213825, Frequency = 32808
04/07/2024 18:47:27, Voltage = 0.30545, Wetness = 3.32379, state = Dry, Temperature = 29.08118, Evaporation = 0.9173541, Frequency = 32760
04/07/2024 18:47:28, Voltage = 0.3053131, Wetness = 3.317757, state = Dry, Temperature = 29.69659, Evaporation = 0.918613, Frequency = 32776
04/07/2024 18:47:29, Voltage = 0.3066021, Wetness = 3.374544, state = Dry, Temperature = 30.27472, Evaporation = 0.9265186, Frequency = 32728
04/07/2024 18:47:30, Voltage = 0.305877, Wetness = 3.342601, state = Dry, Temperature = 30.26868, Evaporation = 0.9232959, Frequency = 32728
04/07/2024 18:47:31, Voltage = 0.2860166, Wetness = 2.467692, state = Dry, Temperature = 30.25244, Evaporation = 0.9192172, Frequency = 32720
04/07/2024 18:47:32, Voltage = 0.2854693, Wetness = 2.44358, state = Dry, Temperature = 30.33881, Evaporation = 0.8945434, Frequency = 32672
04/07/2024 18:47:33, Voltage = 0.2856384, Wetness = 2.451033, state = Dry, Temperature = 30.7749, Evaporation = 0.916196, Frequency = 32712
04/07/2024 18:47:34, Voltage = 0.2854612, Wetness = 2.443225, state = Dry, Temperature = 30.69855, Evaporation = 0.9200229, Frequency = 32888
04/07/2024 18:47:35, Voltage = 0.2863958, Wetness = 2.484396, state = Dry, Temperature = 31.08978, Evaporation = 0.9543144, Frequency = 32856
04/07/2024 18:47:36, Voltage = 0.2854612, Wetness = 2.443225, state = Dry, Temperature = 30.86353, Evaporation = 0.9229939, Frequency = 32960
04/07/2024 18:47:38, Voltage = 0.2861702, Wetness = 2.474458, state = Dry, Temperature = 30.71558, Evaporation = 1.085841, Frequency = 33000
04/07/2024 18:47:39, Voltage = 0.2849858, Wetness = 2.422285, state = Dry, Temperature = 31.18127, Evaporation = 0.9218357, Frequency = 32952
